Date,Volume
2018-05-22,15240704.0
2018-05-21,18400787.0
2018-05-18,18297728.0
2018-05-17,17294029.0
2018-05-16,19183064.0
2018-05-15,23695159.0
2018-05-14,20778772.0
2018-05-11,26212221.0
2018-05-10,27989289.0
2018-05-09,23211241.0
2018-05-08,28402777.0
2018-05-07,42451423.0
2018-05-04,56201317.0
2018-05-03,34068180.0
2018-05-02,66539371.0
2018-05-01,53569376.0
2018-04-30,42427424.0
2018-04-27,35655839.0
2018-04-26,27963014.0
2018-04-25,28382084.0
2018-04-24,33692017.0
2018-04-23,36515477.0
2018-04-20,65491140.0
2018-04-19,34808800.0
2018-04-18,20754538.0
2018-04-17,26605442.0
2018-04-16,21578420.0
2018-04-13,25124255.0
2018-04-12,22889285.0
2018-04-11,22431640.0
2018-04-10,28614241.0
2018-04-09,29017718.0
2018-04-06,35005290.0
2018-04-05,26933197.0
2018-04-04,34605489.0
2018-04-03,30278046.0
2018-04-02,37586791.0
2018-03-29,38398505.0
2018-03-28,41668545.0
2018-03-27,40922579.0
2018-03-26,37541236.0
2018-03-23,41028784.0
2018-03-22,41490767.0
2018-03-21,37054935.0
2018-03-20,19649350.0
2018-03-19,33446771.0
2018-03-16,39404688.0
2018-03-15,22743798.0
2018-03-14,29368356.0
2018-03-13,31693529.0
2018-03-12,32207081.0
2018-03-09,32185162.0
2018-03-08,23774107.0
2018-03-07,31703462.0
2018-03-06,23788506.0
2018-03-05,28401366.0
2018-03-02,38453950.0
2018-03-01,48801970.0
2018-02-28,37782138.0
2018-02-27,38928125.0
2018-02-26,38162174.0
2018-02-23,33812360.0
2018-02-22,30991940.0
2018-02-21,37471623.0
2018-02-20,33930540.0
2018-02-16,40176091.0
2018-02-15,51147171.0
2018-02-14,40644933.0
2018-02-13,32549163.0
2018-02-12,60819539.0
2018-02-09,70672608.0
2018-02-08,54390516.0
2018-02-07,51608580.0
2018-02-06,68243838.0
2018-02-05,72738522.0
2018-02-02,86593825.0
2018-02-01,47230787.0
2018-01-31,32478930.0
2018-01-30,46048185.0
2018-01-29,50640406.0
2018-01-26,39143011.0
2018-01-25,41529004.0
2018-01-24,51105090.0
2018-01-23,32689146.0
2018-01-22,27108551.0
2018-01-19,32425067.0
2018-01-18,31193352.0
2018-01-17,34386836.0
2018-01-16,29565947.0
2018-01-12,25418080.0
2018-01-11,18667729.0
2018-01-10,23959895.0
2018-01-09,21583997.0
2018-01-08,20567766.0
2018-01-05,23660018.0
2018-01-04,22434597.0
2018-01-03,29517899.0
2018-01-02,25555934.0
2017-12-29,25999922.0
2017-12-28,16480187.0
2017-12-27,21498213.0
2017-12-26,33185536.0
2017-12-22,16349444.0
2017-12-21,20949896.0
2017-12-20,23475649.0
2017-12-19,27436447.0
2017-12-18,29421114.0
2017-12-15,40169307.0
2017-12-14,20476541.0
2017-12-13,23818447.0
2017-12-12,19409230.0
2017-12-11,35273759.0
2017-12-08,23355231.0
2017-12-07,25673308.0
2017-12-06,28560000.0
2017-12-05,27350154.0
2017-12-04,32542385.0
2017-12-01,39759288.0
2017-11-30,41527218.0
2017-11-29,41666364.0
2017-11-28,26428802.0
2017-11-27,20716802.0
2017-11-24,14026673.0
2017-11-22,25588925.0
2017-11-21,25131295.0
2017-11-20,16262447.0
2017-11-17,21899544.0
2017-11-16,23637484.0
2017-11-15,29158070.0
2017-11-14,24782487.0
2017-11-13,16982080.0
2017-11-10,25145500.0
2017-11-09,29482596.0
2017-11-08,24409527.0
2017-11-07,24361485.0
2017-11-06,35026306.0
2017-11-03,59398631.0
2017-11-02,41393373.0
2017-11-01,33637762.0
2017-10-31,36046828.0
2017-10-30,44700772.0
2017-10-27,44454160.0
2017-10-26,17000469.0
2017-10-25,21207098.0
2017-10-24,17757230.0
2017-10-23,21984327.0
2017-10-20,23974146.0
2017-10-19,42584166.0
2017-10-18,16374164.0
2017-10-17,18997275.0
2017-10-16,24121452.0
2017-10-13,16394188.0
2017-10-12,16125054.0
2017-10-11,16905640.0
2017-10-10,15617014.0
2017-10-09,16262923.0
2017-10-06,17407558.0
2017-10-05,21283769.0
2017-10-04,20163750.0
2017-10-03,16230293.0
2017-10-02,18698842.0
2017-09-29,26299810.0
2017-09-28,22005455.0
2017-09-27,25504227.0
2017-09-26,36660045.0
2017-09-25,44387336.0
2017-09-22,46645443.0
2017-09-21,37334510.0
2017-09-20,52125209.0
2017-09-19,20564400.0
2017-09-18,28157282.0
2017-09-15,48760947.0
2017-09-14,23334975.0
2017-09-13,44860475.0
2017-09-12,71572415.0
2017-09-11,31580798.0
2017-09-08,28611535.0
2017-09-07,21928502.0
2017-09-06,21651726.0
2017-09-05,29536314.0
2017-09-01,16591051.0
2017-08-31,26785096.0
2017-08-30,27269584.0
2017-08-29,29516910.0
2017-08-28,25965972.0
2017-08-25,25480063.0
2017-08-24,19818918.0
2017-08-23,19399081.0
2017-08-22,21604585.0
2017-08-21,26368528.0
2017-08-18,27428069.0
2017-08-17,27940565.0
2017-08-16,27671612.0
2017-08-15,29465487.0
2017-08-14,22122734.0
2017-08-11,26257096.0
2017-08-10,40804273.0
2017-08-09,26131530.0
2017-08-08,36205896.0
2017-08-07,21870321.0
2017-08-04,20559852.0
2017-08-03,27097296.0
2017-08-02,69936800.0
2017-08-01,35368645.0
2017-07-31,19845920.0
2017-07-28,17213653.0
2017-07-27,32476337.0
2017-07-26,15780951.0
2017-07-25,18853932.0
2017-07-24,21493160.0
2017-07-21,26252630.0
2017-07-20,17243748.0
2017-07-19,20922969.0
2017-07-18,17868792.0
2017-07-17,23793456.0
2017-07-14,20132061.0
2017-07-13,25199373.0
2017-07-12,24884478.0
2017-07-11,19781836.0
2017-07-10,21090636.0
2017-07-07,19201712.0
2017-07-06,24128782.0
2017-07-05,21569557.0
2017-07-03,14277848.0
2017-06-30,23024107.0
2017-06-29,31499368.0
2017-06-28,22082432.0
2017-06-27,24761891.0
2017-06-26,25692361.0
2017-06-23,35439389.0
2017-06-22,19106294.0
2017-06-21,21265751.0
2017-06-20,24900073.0
2017-06-19,32541404.0
2017-06-16,50361093.0
2017-06-15,32165373.0
2017-06-14,31531232.0
2017-06-13,34165445.0
2017-06-12,72307330.0
2017-06-09,64882657.0
2017-06-08,21250798.0
2017-06-07,21069647.0
2017-06-06,26624926.0
2017-06-05,25331662.0
2017-06-02,27770715.0
2017-06-01,16404088.0
2017-05-31,24451164.0
2017-05-30,20126851.0
2017-05-26,21927637.0
2017-05-25,19235598.0
2017-05-24,19219154.0
2017-05-23,19918871.0
2017-05-22,22966437.0
2017-05-19,26960788.0
2017-05-18,33568215.0
2017-05-17,50767678.0
2017-05-16,20048478.0
2017-05-15,26009719.0
2017-05-12,32527017.0
2017-05-11,27255058.0
2017-05-10,25805692.0
2017-05-09,39130363.0
2017-05-08,48752413.0
2017-05-05,27327725.0
2017-05-04,23371872.0
2017-05-03,45697034.0
2017-05-02,45352194.0
2017-05-01,33602943.0
2017-04-28,20860358.0
2017-04-27,14246347.0
2017-04-26,20041241.0
2017-04-25,18871501.0
2017-04-24,17134333.0
2017-04-21,17320928.0
2017-04-20,23319562.0
2017-04-19,17328375.0
2017-04-18,14697544.0
2017-04-17,16582094.0
2017-04-13,17822880.0
2017-04-12,20350000.0
2017-04-11,30379376.0
2017-04-10,18933397.0
2017-04-07,16672198.0
2017-04-06,21149034.0
2017-04-05,27717854.0
2017-04-04,19891354.0
2017-04-03,19985714.0
2017-03-31,19661651.0
2017-03-30,21207252.0
2017-03-29,29189955.0
2017-03-28,33374805.0
2017-03-27,23575094.0
