Date,AdjustedHighPrice
2019-03-29,190.08
2019-03-28,189.559
2019-03-27,189.76
2019-03-26,192.88
2019-03-25,191.98
2019-03-22,197.69
2019-03-21,196.33
2019-03-20,189.49
2019-03-19,188.99
2019-03-18,188.39
2019-03-15,187.33
2019-03-14,184.1
2019-03-13,183.3
2019-03-12,182.67
2019-03-11,179.12
2019-03-08,173.07
2019-03-07,174.44
2019-03-06,175.49
2019-03-05,176.0
2019-03-04,177.75
2019-03-01,175.15
2019-02-28,174.91
2019-02-27,175.0
2019-02-26,175.3
2019-02-25,175.87
2019-02-22,173.0
2019-02-21,172.37
2019-02-20,173.32
2019-02-19,171.44
2019-02-15,171.7
2019-02-14,171.2615
2019-02-13,172.48
2019-02-12,171.0
2019-02-11,171.21
2019-02-08,170.66
2019-02-07,173.197188487189
2019-02-06,174.820227565228
2019-02-05,174.33232011232
2019-02-04,170.921946589447
2019-02-01,168.25837018837
2019-01-31,168.278284778285
2019-01-30,165.440455715456
2019-01-29,157.454705159705
2019-01-28,155.662392067392
2019-01-25,157.454705159705
2019-01-24,153.820292500293
2019-01-23,154.477473967474
2019-01-22,156.060683865684
2019-01-18,157.205772785773
2019-01-17,156.986712296712
2019-01-16,155.214313794314
2019-01-15,152.734947349947
2019-01-14,150.624000819001
2019-01-11,153.043623493624
2019-01-10,153.31247045747
2019-01-09,153.870078975079
2019-01-08,151.171652041652
2019-01-07,148.194420849421
2019-01-04,147.915517017667
2019-01-03,145.097702117702
2019-01-02,158.17163039663
2018-12-31,158.679452439452
2018-12-28,157.84303966304
2018-12-27,156.100513045513
2018-12-26,156.558548613549
2018-12-24,150.902805077805
2018-12-21,157.484577044577
2018-12-20,161.417708552709
2018-12-19,166.734904059904
2018-12-18,166.814562419562
2018-12-17,167.631060606061
2018-12-14,168.357943137943
2018-12-13,171.833039078039
2018-12-12,171.185814905815
2018-12-11,171.05637007137
2018-12-10,169.36362992863
2018-12-07,173.74483970984
2018-12-06,174.033601263601
2018-12-04,181.611003153153
