Date,AdjustedOpenPrice
2019-03-29,189.83
2019-03-28,188.95
2019-03-27,188.75
2019-03-26,191.664
2019-03-25,191.51
2019-03-22,195.34
2019-03-21,190.02
2019-03-20,186.23
2019-03-19,188.35
2019-03-18,185.8
2019-03-15,184.85
2019-03-14,183.9
2019-03-13,182.25
2019-03-12,180.0
2019-03-11,175.49
2019-03-08,170.32
2019-03-07,173.87
2019-03-06,174.67
2019-03-05,175.94
2019-03-04,175.69
2019-03-01,174.28
2019-02-28,174.32
2019-02-27,173.21
2019-02-26,173.71
2019-02-25,174.16
2019-02-22,171.58
2019-02-21,171.8
2019-02-20,171.19
2019-02-19,169.71
2019-02-15,171.25
2019-02-14,169.71
2019-02-13,171.39
2019-02-12,170.1
2019-02-11,171.05
2019-02-08,168.99
2019-02-07,171.663765063765
2019-02-06,173.904156429156
2019-02-05,172.121800631801
2019-02-04,166.695074880075
2019-02-01,166.246996606997
2019-01-31,165.400626535627
2019-01-30,162.55284017784
2019-01-29,155.582733707734
2019-01-28,155.124698139698
2019-01-25,154.816021996022
2019-01-24,153.451872586873
2019-01-23,153.491701766702
2019-01-22,155.74205042705
2019-01-18,156.827395577396
2019-01-17,153.541488241488
2019-01-16,152.426271206271
2019-01-15,149.628271323271
2019-01-14,150.205794430794
2019-01-11,152.227125307125
2019-01-10,151.848748098748
2019-01-09,150.643915408915
2019-01-08,148.921303381303
2019-01-07,148.064976014976
2019-01-04,143.912784017784
2019-01-03,143.365132795133
2019-01-02,154.228541593542
2018-12-31,157.852996957997
2018-12-28,156.827395577396
2018-12-27,155.174484614485
2018-12-26,147.666684216684
2018-12-24,147.517324792325
2018-12-21,156.190128700129
2018-12-20,159.715011115011
2018-12-19,165.291096291096
2018-12-18,164.673744003744
2018-12-17,164.743445068445
2018-12-14,168.278284778285
2018-12-13,169.761921726922
2018-12-12,169.672306072306
2018-12-11,170.926925236925
2018-12-10,164.295366795367
2018-12-07,172.74911021411
2018-12-06,171.026498186498
2018-12-04,180.177252252252
2018-12-03,183.672262782263
2018-11-30,179.520070785071
2018-11-29,181.87994968995
2018-11-28,175.975273780274
2018-11-27,170.777565812566
2018-11-26,173.495907335907
2018-11-23,174.192917982918
2018-11-21,178.962462267462
2018-11-20,177.60827015327
2018-11-19,189.188604188604
2018-11-16,189.686468936469
2018-11-15,187.58547970048
2018-11-14,193.071949221949
2018-11-13,190.811643266643
2018-11-12,198.15016965017
2018-11-09,204.672197847198
2018-11-08,209.08327951328
2018-11-07,204.377301138992
2018-11-06,200.358618468637
2018-11-05,202.720214704549
2018-11-02,207.92961816612
2018-11-01,217.356157763248
2018-10-31,215.202937665799
2018-10-30,209.517245887741
2018-10-29,217.49507518889
2018-10-26,214.230515686305
2018-10-25,216.02651954639
2018-10-24,220.878706770595
2018-10-23,214.161056973484
2018-10-22,218.090435584498
2018-10-19,216.373813110494
2018-10-18,216.175359645292
2018-10-17,220.581026572791
2018-10-16,217.237085684126
2018-10-15,219.449841821136
2018-10-12,218.715563999886
2018-10-11,212.861186776407
2018-10-10,223.716591322994
2018-10-09,221.910664789649
2018-10-08,220.49172251345
2018-10-05,226.197259638028
2018-10-04,228.995453497386
2018-10-03,228.271098349396
2018-10-02,225.492749836558
2018-10-01,226.187336964767
2018-09-28,223.051772214565
2018-09-27,222.089272908332
2018-09-26,219.291079048974
2018-09-25,218.050744891457
2018-09-24,215.143401626238
2018-09-21,219.072780237251
2018-09-20,218.536955881204
2018-09-19,216.81041073394
2018-09-18,216.105900932471
2018-09-17,220.432186473889
2018-09-14,224.004348847538
2018-09-13,221.791592710528
2018-09-12,223.200612313467
2018-09-11,216.324199744194
2018-09-10,219.241465682673
2018-09-07,220.134506276085
2018-09-06,224.480637164024
2018-09-05,227.219294983821
2018-09-04,226.643779934734
2018-08-31,224.758472015308
2018-08-30,221.523680532504
2018-08-29,218.447651821863
2018-08-28,217.316467070207
2018-08-27,215.470849843822
2018-08-24,214.925102814515
2018-08-23,212.990181528788
2018-08-22,212.444434499481
2018-08-21,215.123556279717
2018-08-20,216.413503803535
2018-08-17,211.789538064312
2018-08-16,210.112606283349
2018-08-15,207.602169948535
2018-08-14,208.529939898358
2018-08-13,206.093923612995
2018-08-10,205.75655272215
2018-08-09,204.958364676383
2018-08-08,203.742141265769
2018-08-07,206.975515698863
2018-08-06,205.670300331376
2018-08-03,204.711164796177
2018-08-02,198.333407886862
2018-08-01,196.899648581668
2018-07-31,188.168548812792
2018-07-30,189.750628046111
2018-07-27,192.806018565457
2018-07-26,192.430274747544
2018-07-25,190.897833250171
2018-07-24,190.294467782564
2018-07-23,188.544292630706
2018-07-20,189.631972103612
2018-07-19,187.56538110509
2018-07-18,189.631972103612
2018-07-17,187.624709076339
2018-07-16,189.374884228198
2018-07-13,188.939812439035
2018-07-12,187.407173181758
2018-07-11,186.388709675309
2018-07-10,188.57395661633
2018-07-09,187.377509196133
2018-07-06,183.343207151172
2018-07-05,183.18499922784
2018-07-03,185.686662015524
2018-07-02,181.761127917853
2018-06-29,184.203462734289
2018-06-28,182.037991783684
2018-06-27,183.153159883269
2018-06-26,180.94042431557
2018-06-25,181.345832119107
2018-06-22,184.035366815748
2018-06-21,185.152710274279
2018-06-20,184.262790705538
2018-06-19,183.066343285341
2018-06-18,185.775653972399
2018-06-15,187.90157294217
2018-06-14,189.404548213822
2018-06-13,190.264803796939
2018-06-12,189.241396292886
2018-06-11,189.206788309658
2018-06-08,189.028804395909
2018-06-07,191.965538972756
2018-06-06,191.461251217136
2018-06-05,190.902579487871
