date,marketcap
2018-06-20,934686423369.0
2018-06-19,930626927375.0
2018-06-18,945912683896.0
2018-06-15,946413856241.0
2018-06-14,956236834203.0
2018-06-13,955735661858.0
2018-06-12,963654184908.0
2018-06-11,958391875286.0
2018-06-08,960747385307.0
2018-06-07,969568018579.0
2018-06-06,972174114773.0
2018-06-05,968816260061.0
2018-06-04,961398909356.0
2018-06-01,953430269071.0
2018-05-31,936540761045.0
2018-05-30,939698146819.0
2018-05-29,941702836199.0
2018-05-25,945110808144.0
2018-05-24,942955767061.0
2018-05-23,944008228985.0
2018-05-22,937994160846.0
2018-05-21,940349670867.0
2018-05-18,933734195913.0
2018-05-17,937142167859.0
2018-05-16,943106118764.0
2018-05-15,934385719962.0
2018-05-14,942955767061.0
2018-05-11,945160925379.0
2018-05-10,948769366263.0
2018-05-09,935389541481.0
2018-05-08,928849403248.0
2018-05-07,924406103227.0
2018-05-04,917766115555.0
2018-05-03,883118360336.0
2018-05-02,881520769317.0
2018-05-01,844227003973.0
2018-04-30,825055911748.0
2018-04-27,810378044263.0
2018-04-26,819863740937.0
2018-04-25,817018031935.0
2018-04-24,813473376862.0
2018-04-23,824956062309.0
2018-04-20,827352448837.0
2018-04-19,862699150127.0
2018-04-18,887861208673.0
2018-04-17,889858197446.0
2018-04-16,877776415367.0
2018-04-13,872334620959.0
2018-04-12,869389062518.0
2018-04-11,860901860231.0
2018-04-10,864945762497.0
2018-04-09,848969852310.0
2018-04-06,840632424181.0
2018-04-05,862699150127.0
2018-04-04,856758108526.0
2018-04-03,840682348900.0
2018-04-02,832145221894.0
2018-03-29,852393980837.0
2018-03-28,845789426212.0
2018-03-27,855239019753.0
2018-03-26,877745309746.0
2018-03-23,837965569193.0
2018-03-22,857830037337.0
2018-03-21,870124669794.0
2018-03-20,890293963535.0
2018-03-19,890598789133.0
2018-03-16,904417549581.0
2018-03-15,907618218361.0
2018-03-14,906551328767.0
2018-03-13,914324381519.0
2018-03-12,923215128130.0
2018-03-09,914375185785.0
2018-03-08,898930688815.0
2018-03-07,889227073942.0
2018-03-06,897558973623.0
2018-03-05,898321037618.0
2018-03-02,895221977371.0
2018-03-01,889074661143.0
2018-02-28,904925592244.0
2018-02-27,906297307436.0
2018-02-26,909243954884.0
2018-02-23,891614874460.0
2018-02-22,876373594555.0
2018-02-21,869108584467.0
2018-02-20,873071317242.0
2018-02-16,876017964690.0
2018-02-15,878863003606.0
2018-02-14,850311005917.0
2018-02-13,834917313212.0
2018-02-12,826636217797.0
2018-02-09,794629529996.0
2018-02-08,785027523656.0
2018-02-07,807240033026.0
2018-02-06,824898724986.0
2018-02-05,791807651801.0
2018-02-02,812097438265.0
2018-02-01,848932761321.0
2018-01-31,847161832328.0
2018-01-30,844834325651.0
2018-01-29,849843524803.0
2018-01-26,867805804590.0
2018-01-25,865781885741.0
2018-01-24,881517854794.0
2018-01-23,895786482681.0
2018-01-22,895584090796.0
2018-01-19,902971394596.0
2018-01-18,907019232295.0
2018-01-17,906209664755.0
2018-01-16,891485655127.0
2018-01-12,896039472538.0
2018-01-11,886881239745.0
2018-01-10,881872040593.0
2018-01-09,882074432478.0
2018-01-08,882175628420.0
2018-01-05,885464496550.0
2018-01-04,875496696218.0
2018-01-03,871448858519.0
2018-01-02,871600652433.0
2017-12-29,871859095863.0
2017-12-28,881390144302.0
2017-12-27,878917223626.0
2017-12-26,878762666084.0
2017-12-22,901637182338.0
2017-12-21,901637182338.0
2017-12-20,898236916408.0
2017-12-19,899215780842.0
2017-12-18,908901386824.0
2017-12-15,896279187539.0
2017-12-14,887263330908.0
2017-12-13,887520926812.0
2017-12-12,884584333509.0
2017-12-11,889581694042.0
2017-12-08,872580364394.0
2017-12-07,872322768490.0
2017-12-06,870725673886.0
2017-12-05,873971382274.0
2017-12-04,874795689166.0
2017-12-01,881235586760.0
2017-11-30,885357121220.0
2017-11-29,873147075382.0
2017-11-28,891642461272.0
2017-11-27,896897417708.0
2017-11-24,901431105615.0
2017-11-22,901379586434.0
2017-11-21,892003095537.0
2017-11-20,875723034419.0
2017-11-17,876598860492.0
2017-11-16,881493182664.0
2017-11-15,871086308152.0
2017-11-14,882729643002.0
2017-11-13,896279187539.0
2017-11-10,899885530192.0
2017-11-09,902873642676.0
2017-11-08,904721689704.0
2017-11-07,897380836230.0
2017-11-06,894506096408.0
2017-11-03,885522534464.0
2017-11-02,862986627645.0
2017-11-01,856723801604.0
2017-10-31,867760749135.0
2017-10-30,855851112730.0
2017-10-27,837011299967.0
2017-10-26,808058563188.0
2017-10-25,802925099220.0
2017-10-24,806467189358.0
2017-10-23,801693067868.0
2017-10-20,802103744986.0
2017-10-19,800717709714.0
2017-10-18,820122203513.0
2017-10-17,823766962930.0
2017-10-16,820738219189.0
2017-10-13,805902508322.0
2017-10-12,800820378994.0
2017-10-11,803643784176.0
2017-10-10,800307032597.0
2017-10-09,799999024759.0
2017-10-06,797226954216.0
2017-10-05,797688965973.0
2017-10-04,787884049794.0
2017-10-03,793017513762.0
2017-10-02,789578092904.0
2017-09-29,788428684124.0
2017-09-28,784131512474.0
2017-09-27,788991408983.0
2017-09-26,783415317199.0
2017-09-25,770165704612.0
2017-09-22,777020716530.0
2017-09-21,784694237333.0
2017-09-20,798404261168.0
2017-09-19,812011971392.0
2017-09-18,811705030560.0
2017-09-15,817895004008.0
2017-09-14,809709915151.0
2017-09-13,816718397485.0
2017-09-12,822908370933.0
2017-09-11,826182406475.0
2017-09-08,811500403338.0
2017-09-07,824954643147.0
2017-09-06,828279835495.0
2017-09-05,829149501186.0
2017-09-01,839227391841.0
2017-08-31,838971607814.0
2017-08-30,835646415466.0
2017-08-29,833395516030.0
2017-08-28,826028936059.0
2017-08-25,817792690397.0
2017-08-24,814774438881.0
2017-08-23,818406572061.0
2017-08-22,817383435954.0
2017-08-21,804236136978.0
2017-08-18,805719684333.0
2017-08-17,807561329326.0
2017-08-16,823368782181.0
2017-08-15,826693974529.0
2017-08-14,817741533592.0
2017-08-11,805617370723.0
2017-08-10,794567500766.0
2017-08-09,820708628302.0
2017-08-08,815714871592.0
2017-08-07,809243370549.0
2017-08-04,796911848877.0
2017-08-03,792733399385.0
2017-08-02,800733601462.0
2017-08-01,764605300365.0
2017-07-31,757879015816.0
2017-07-28,761802681803.0
2017-07-27,767204092122.0
2017-07-26,781981535448.0
2017-07-25,778312652967.0
2017-07-24,775000467394.0
2017-07-21,765726347790.0
2017-07-20,766083044697.0
2017-07-19,769548100374.0
2017-07-18,764758170468.0
2017-07-17,762108422010.0
2017-07-14,759458673551.0
2017-07-13,752987172509.0
2017-07-12,742642962180.0
2017-07-11,741572871457.0
2017-07-10,739177906504.0
2017-07-07,734693716805.0
2017-07-06,727304995142.0
2017-07-05,734235106495.0
2017-07-03,731228661129.0
2017-06-30,737831271427.0
2017-06-29,736089411739.0
2017-06-28,747104112708.0
2017-06-27,736345567576.0
2017-06-26,747052881541.0
2017-06-23,749409515237.0
2017-06-22,746079489362.0
2017-06-21,747309037377.0
2017-06-20,742903156990.0
2017-06-19,749716902240.0
2017-06-16,728865817150.0
2017-06-15,739214512944.0
2017-06-14,743671624499.0
2017-06-13,750997681423.0
2017-06-12,745003634849.0
2017-06-09,763241930407.0
2017-06-08,794031861953.0
2017-06-07,795978646311.0
2017-06-06,791265378919.0
2017-06-05,788601358220.0
2017-06-02,796388495649.0
2017-06-01,784759020672.0
2017-05-31,782607311646.0
2017-05-30,787269347870.0
2017-05-26,786961960866.0
2017-05-25,788293971216.0
2017-05-24,785578719349.0
2017-05-23,787935353045.0
2017-05-22,788908745224.0
2017-05-19,784144246665.0
2017-05-18,781480225965.0
2017-05-17,769748288654.0
2017-05-16,796490957984.0
2017-05-15,797669274831.0
2017-05-12,799718521523.0
2017-05-11,788703820554.0
2017-05-10,781941306471.0
2017-05-09,785665808322.0
2017-05-08,780665792138.0
2017-05-05,760002459950.0
2017-05-04,747604460637.0
2017-05-03,750308551022.0
2017-05-02,752604476821.0
2017-05-01,747859563503.0
2017-04-28,732910535525.0
2017-04-27,733624823551.0
2017-04-26,733063597245.0
2017-04-25,737400345976.0
2017-04-24,732859514952.0
2017-04-21,725869696409.0
2017-04-20,726737046155.0
2017-04-19,717757425253.0
2017-04-18,720410495065.0
2017-04-17,723624791183.0
2017-04-13,719645186466.0
2017-04-12,723471729464.0
2017-04-11,722604379717.0
2017-04-10,730461548006.0
2017-04-07,731328897752.0
2017-04-06,732961556098.0
2017-04-05,734798296737.0
2017-04-04,738624839735.0
2017-04-03,733165638391.0
2017-03-31,742198227277.0
2017-03-30,743593142503.0
2017-03-29,744574749514.0
2017-03-28,742921516653.0
2017-03-27,727835766802.0
