DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
35.11,7.7,2.28,1.83,29.74,40.03,12.81,25.4,24.56,8130000000,8130000000,11.75,0.76,2.38,4.6,2.38,3230000000,4.6,1020000000,7.31,29.4,9.8,1150000000,8.28,1500000000,5.18,30.65,1410000000,0.96
32.94,14.1,3.56,2.3,25.71,30.92,8.08,17.12,21.07,10610000000,10610000000,14.84,1.15,3.62,8.16,3.62,3260000000,8.16,753310000,5.41,30.6,17.1,1490000000,10.73,1500000000,4.85,32.67,1350000000,1.39
32.69,12.61,3.12,2,24.54,32.15,8.31,16.17,21.12,9090000000,9090000000,8.84,0.82,3.1,6.8,3.1,2940000000,6.8,720480000,5.18,17.4,0.9,1490000000,10.69,1500000000,4.39,32.92,1310000000,1.43
32.32,13.8,3.4,2.11,24.69,31.78,8.01,15.75,20.72,9790000000,9790000000,9.78,0.86,3.4,7.51,3.4,2940000000,7.51,711300000,5.12,5,7.3,1460000000,10.49,1500000000,4.53,33.3,1240000000,1.43
0.389,29.36,1.89,3.04,6.46,10.06,6.05,11.22,21.718,8370000000,9050000000,17.91,1.72,2.05,15.2,2.05,1360000000,15.2,285220000,1.403,148.8,6.2,370380000,1.82,1070000000,2.031,13.517,460980000,1.164
0.37,27,1.8,3.02,6.68,10.41,6.38,11.88,22.868,8390000000,8990000000,17.71,1.54,1.93,14.11,1.93,1360000000,14.11,311340000,1.528,148.8,6.2,422530000,2.08,1030000000,2.052,13.677,674050000,1.141
0.346,21.42,1.6,2.81,7.51,11.46,7.41,13.94,25.334,8300000000,9020000000,17.14,1.54,1.74,12.02,1.74,1360000000,12.02,388420000,1.904,148.8,6.2,306640000,1.51,1020000000,1.981,14.538,728710000,1.283
0.346,20.77,1.55,2.72,7.51,11.46,7.41,13.94,25.334,8040000000,8760000000,16.61,1.36,1.69,11.67,1.69,1360000000,11.67,388420000,1.904,148.8,6.2,306640000,1.51,1020000000,1.981,14.538,728710000,1.29
0.346,20.81,1.53,2.67,7.51,11.46,7.41,13.94,25.334,8060000000,8770000000,14.57,1.23,1.7,11.69,1.7,1360000000,11.69,388420000,1.9,148.8,6.2,306640000,1.51,1020000000,1.981,14.538,728710000,1.282
0.35,17.83,1.32,2.33,7.46,11.16,7.55,14.15,26.799,7270000000,8000000000,12.93,1.1,1.46,10.35,1.46,1890000000,10.35,409140000,2,40.9,24.4,357610000,1.76,1090000000,1.586,15.325,600880000,1.181
60.74,14.94,1.42,2.44,10.07,15.69,8.06,17.13,45.76,13980000000,13980000000,11.54,1,1.71,8.41,1.71,3110000000,8.41,843700000,4.55,7.1,1.2,571360000,3.34,2890000000,1.5,27.83,1210000000,1.54
60.74,16.09,1.53,2.63,10.07,15.75,8.09,17.13,45.76,14500000000,14500000000,12.43,0.96,1.77,8.69,1.77,3110000000,8.69,843700000,4.55,7.1,4.3,571360000,3.34,2890000000,1.46,27.83,1210000000,1.52
1.026,18.8,1.34,4.37,7.27,11.1,6.78,27.24,42.199,52590000000,63030000000,9.44,1.83,1.57,13.89,1.57,5920000000,13.89,2800000000,2.93,61.7,23.1,3190000000,3.35,12590000000,1.512,12.876,2670000000,0.827
1.026,19.24,1.3,4.26,7.27,11.1,6.78,27.24,42.199,53800000000,63200000000,9.6,1.84,1.57,13.93,1.57,5920000000,13.93,2800000000,2.93,61.7,23.1,3190000000,3.35,12590000000,1.512,12.876,2670000000,0.827
1.026,16.75,1.19,3.87,7.27,11.1,6.78,27.24,42.199,47210000000,56610000000,8.27,1.56,1.41,12.47,1.41,5920000000,12.47,2800000000,2.93,61.7,23.1,3190000000,3.32,12590000000,1.512,12.876,2670000000,0.832
105.23,23.24,0.86,2.57,4.3,6.2,3.07,10.61,47.67,62890000000,62890000000,11.86,2.18,1.17,10,1.17,7890000000,10,1970000000,1.72,197.1,10.5,6890000000,5.9,23830000000,1.71,15.28,62890000000,2.45
80.23,13.49,0.61,1.72,5.02,7.74,4.17,12.59,50.48,52740000000,52740000000,8.29,1.44,0.92,7.19,0.92,7890000000,7.19,2520000000,2.18,63.9,17.8,2120000000,1.79,20090000000,1.83,17.09,52740000000,2.51
80.23,12.69,0.55,1.56,5.02,7.74,4.17,12.59,50.48,49480000000,49480000000,8.99,1.5,0.86,6.74,0.86,7890000000,6.74,2520000000,2.18,63.9,17.8,2120000000,1.79,20090000000,1.83,17.09,49480000000,2.68
77.97,11.76,0.56,1.65,5.34,7.55,4.23,13.46,52.17,50770000000,50770000000,10.15,1.09,0.85,6.86,0.85,7890000000,6.86,2820000000,2.44,50.8,17.4,2120000000,1.79,19600000000,1.69,17.05,3690000000,3
77.97,12.42,0.6,1.77,5.34,7.55,4.23,13.46,52.17,53320000000,53320000000,10.87,1.16,0.89,7.21,0.89,7890000000,7.21,2820000000,2.44,50.8,17.4,2120000000,1.79,19600000000,1.69,17.05,3690000000,3
92.16,16.63,0.67,2.21,4.57,6.99,3.77,12.08,52.21,56750000000,56750000000,10.09,1.28,0.95,8.02,0.95,8960000000,8.02,2370000000,2.05,87.3,2.4,5280000000,4.45,21600000000,1.72,15.43,3880000000,2.91
85.04,16.85,0.64,2.03,4.22,6.69,3.63,10.76,51.95,55660000000,55660000000,9.67,2.13,0.93,8.13,0.93,8960000000,8.13,2160000000,1.86,30,0.1,3460000000,2.89,20580000000,1.78,15.92,4000000000,2.22
85.04,16.49,0.61,1.93,4.22,6.69,3.63,10.76,51.95,53890000000,53890000000,9.58,2.07,0.9,7.87,0.9,8960000000,7.87,2160000000,1.86,30,0.1,3460000000,2.89,20580000000,1.78,15.92,4000000000,2.22
81.29,23.4,0.62,1.79,3.3,6.8,3.55,7.7,48.92,52270000000,52270000000,12.42,2.81,0.92,7.88,0.92,8960000000,7.88,1520000000,1.3,35.3,9.7,3690000000,3.08,20410000000,1.83,16.54,4540000000,1.88
119.43,14.95,1.46,3.83,10.01,17.39,7.13,25.33,27.48,11150000000,11150000000,12.84,2.16,1.88,8.95,1.88,3420000000,8.95,594000000,2.73,10.5,2.3,203000000,0.96,2700000000,0.89,10.67,384000000,0.05
119.43,15.68,1.53,4.02,10.01,17.39,7.13,25.33,27.48,11580000000,11580000000,13.42,2.1,1.95,9.3,1.95,3420000000,9.3,594000000,2.73,10.5,2.3,203000000,0.96,2700000000,0.89,10.67,384000000,0.04
124.92,16.34,1.65,4.43,10.53,18.24,7.77,28.14,28.83,12620000000,12620000000,14.71,2.04,2.1,9.62,2.1,3500000000,9.62,633000000,3,3.9,1.3,220000000,1.08,2800000000,1.06,10.98,843000000,0.22
0.52,15.77,0.72,2.71,4.9,7.24,8.63,19.09,28.448,3540000000,4170000000,13.5,1.09,0.86,6.9,0.86,1020000000,6.9,238860000,1.395,2.3,6.6,43870000,0.27,668910000,0.571,7.986,474720000,0.403
0.52,15.31,0.7,2.65,4.9,7.24,8.63,19.09,28.448,3440000000,4060000000,13.02,1.07,0.83,6.73,0.83,1020000000,6.73,238860000,1.395,2.3,6.6,43870000,0.27,668910000,0.571,7.986,474720000,0.393
0.527,16.46,0.71,2.79,4.68,6.89,8.37,18.54,29.93,3650000000,4280000000,12.78,1.08,0.85,7.12,0.85,1110000000,7.12,234990000,1.405,0.3,7.5,38600000,0.24,670470000,0.532,8.073,525410000,0.362
0.527,19.42,0.85,3.37,4.68,6.89,8.37,18.54,29.93,4290000000,4920000000,14.99,1.32,0.98,8.19,0.98,1110000000,8.19,234990000,1.405,0.3,7.5,38600000,0.25,670470000,0.532,8.093,489140000,0.454
0.527,19.51,0.85,3.37,4.68,6.89,8.37,18.54,29.93,4310000000,4940000000,14.98,1.32,0.98,8.22,0.98,1110000000,8.22,234990000,1.405,0.3,7.5,38600000,0.25,670470000,0.532,8.093,489140000,0.454
0.506,19.79,0.94,3.79,4.88,7.08,8.92,20.6,31.858,4890000000,5390000000,15.8,1.37,1.03,8.58,1.03,1100000000,8.58,256040000,1.56,2.2,7.5,87780000,0.56,651300000,0.457,8.186,626440000,0.141
0.506,21.01,0.97,3.94,4.88,7.08,8.92,20.6,31.858,5130000000,5640000000,16.69,1.45,1.08,8.98,1.08,1100000000,8.98,256040000,1.56,2.2,7.5,87780000,0.56,651300000,0.457,8.22,591040000,0.152
142.15,14.91,0.76,3.25,5.17,8.25,6.66,23.12,64.69,9010000000,9010000000,15.37,2.84,1.08,8.48,1.08,1840000000,8.48,430800000,3.28,18.1,4.6,107100000,0.83,2770000000,0.56,15.02,901300000,0.7
142.15,16.33,0.84,3.56,5.17,8.25,6.66,23.12,64.69,9620000000,9620000000,16.84,3.07,1.16,9.05,1.16,1840000000,9.05,430800000,3.28,18.1,4.6,107100000,0.83,2770000000,0.56,15.02,901300000,0.7
1.573,13.72,1.11,1.4,8.05,9.84,2.67,10.3,40.087,7760000000,16200000000,12.79,3.54,2.35,11.97,2.35,4800000000,11.97,554000000,3.25,17.6,4.3,74000000,0.43,8620000000,0.977,31.500999,1300000000,0.082
121.52,13.29,0.95,1.21,7.05,16.13,3.5,9.23,50.25,15770000000,15770000000,12.65,2.62,1.9,6.78,1.9,2520000000,6.78,586000000,3.53,3.6,6.2,124000000,0.74,7970000000,0.88,38.85,15770000000,0.66
115.75,14.91,1.02,1.28,6.76,16.8,3.68,8.74,50.58,16430000000,16430000000,13.49,2.94,1.93,6.88,1.93,2790000000,6.88,577000000,3.41,23.1,0.9,197000000,1.16,7910000000,1.1,40.11,16430000000,0.62
115.75,14.84,1.01,1.27,6.76,16.8,3.68,8.74,50.58,16320000000,16320000000,13.39,2.86,1.91,6.83,1.91,2790000000,6.83,577000000,3.41,23.1,0.9,197000000,1.16,7910000000,1.1,40.11,16320000000,0.63
115.75,14.81,1,1.26,6.76,16.8,3.68,8.74,50.58,16290000000,16290000000,13.36,2.91,1.91,6.82,1.91,2790000000,6.82,577000000,3.41,23.1,0.9,197000000,1.16,7910000000,1.1,40.11,16290000000,0.63
111.04,14.68,1.15,1.41,7.93,15.48,3.35,10.01,51.49,17880000000,17880000000,14.9,3.63,2.05,7.89,2.05,2730000000,7.89,691000000,4.05,11.4,7.5,57000000,0.34,7940000000,1.17,41.76,1910000000,0.33
105.65,14.78,1.16,1.36,7.85,15.64,3.34,9.58,50.75,17870000000,17870000000,14.53,3.17,2.07,7.84,2.07,2730000000,7.84,679000000,3.96,24,2.6,59000000,0.34,7850000000,1.18,42.94,2250000000,0.31
105.65,14.97,1.17,1.37,7.85,15.64,3.34,9.58,50.75,18000000000,18000000000,14.71,3.13,2.08,7.9,2.08,2730000000,7.9,679000000,3.96,24,2.6,59000000,0.34,7850000000,1.18,42.94,2250000000,0.31
105.65,16.15,1.26,1.47,7.85,15.64,3.34,9.58,50.75,18800000000,18800000000,15.87,3.21,2.17,8.25,2.17,2730000000,8.25,679000000,3.96,24,2.6,59000000,0.34,7850000000,1.18,42.94,2250000000,0.26
105.58,18.12,1.38,1.65,7.59,15.24,3.34,10.16,52.8,20410000000,20410000000,16.91,4.09,2.25,8.68,2.25,2600000000,8.68,744000000,3.99,50,11.9,218000000,1.25,8060000000,1.12,43.67,2190000000,0.26
87.83,15.12,1.96,1.23,12.89,20.61,3.11,8.21,10.76,45920000000,45920000000,14.72,3.63,3.21,9.24,3.21,5520000000,9.24,1840000000,1.38,29.6,0.5,2180000000,1.64,20110000000,1.23,17.11,45920000000,0.34
87.83,15.92,2.05,1.29,12.89,20.61,3.11,8.21,10.76,47250000000,47250000000,15.38,4.02,3.3,9.5,3.3,5520000000,9.5,1840000000,1.38,29.6,0.5,2180000000,1.64,20110000000,1.23,17.11,3880000000,0.31
92.56,16.27,1.96,1.23,11.98,21.8,3.19,7.53,10.69,46770000000,46770000000,14.08,4.03,3.29,9.12,3.29,5610000000,9.12,1700000000,1.28,32.6,2.3,2300000000,1.73,21160000000,1.25,17.05,3670000000,0.18
90.38,20.73,2.18,1.36,10.49,22.51,3.31,6.55,10.65,50330000000,50330000000,15.51,4.61,3.54,9.56,3.54,5610000000,9.56,1480000000,1.12,42.3,0.9,1310000000,0.98,20680000000,1.38,17.03,3580000000,0.18
99.23,22.76,2.57,1.2,9.23,23.11,3.14,5.47,33.38,88030000000,88030000000,15.19,4.04,4.6,12.43,4.6,7050000000,12.43,1730000000,3.07,51,65.2,1760000000,2.5,40720000000,1.01,58.04,5240000000,0.14
99.23,24.19,2.73,1.28,9.23,23.11,3.14,5.47,33.38,91340000000,91340000000,16.18,4.06,4.77,12.9,4.77,7050000000,12.9,1730000000,3.07,51,65.2,1760000000,2.5,40720000000,1.01,58.04,5240000000,0.17
99.23,24.33,2.74,1.28,9.23,23.11,3.14,5.47,33.38,91340000000,91340000000,16.28,4.04,4.77,12.9,4.77,7050000000,12.9,1730000000,3.07,51,65.2,1760000000,2.5,40720000000,1.01,58.04,5240000000,0.17
2.428,15.8,1.47,6.72,9.57,19.02,10.08,65.3,20.304,3160000000,4100000000,14.1,1.01,1.91,8.37,1.91,655860000,8.37,206120000,1.99,11.7,8.7,200700000,1140000000,1140000000,1.947,4.705,350970000,0.648
3.068,18.51,1.77,8.77,10.22,19.06,10.78,61.02,21.686,4010000000,5120000000,17.92,1.3,2.29,10.05,2.29,655860000,10.05,228450000,2.217,11.7,8.7,226940000,2.33,1390000000,1.855,4.629,367180000,0.813
2.63,19.55,1.84,8.09,9.67,17.84,10.03,51.82,22.34,4160000000,5290000000,16.19,1.27,2.3,10.64,2.3,655860000,10.64,222250000,2.16,11.7,8.7,251980000,2.56,1380000000,1.967,5.307,367180000,0.687
2.63,19.33,1.81,7.96,9.67,17.84,10.03,51.82,22.34,4120000000,5290000000,15.88,1.25,2.3,10.65,2.3,743530000,10.65,222250000,2.16,26.4,14,251980000,2.56,1380000000,1.967,5.307,419950000,0.619
178.61,18.83,1.06,3.61,5.89,15.82,8.2,18.65,70.92,11170000000,11170000000,12.44,1.19,1.65,8.42,1.65,1970000000,8.42,401390000,4.1,13.4,9.6,565870000,6.05,4520000000,1.97,21.4,1150000000,0.38
155.34,17.37,1.23,3.93,7.17,17.15,8.95,23.02,77.61,13000000000,13000000000,14.02,1.3,1.78,8.48,1.78,2300000000,8.48,527590000,5.46,48.3,19.7,457910000,4.87,4510000000,1.91,24.2,1180000000,0.7
190.15,22.3,1.59,3.45,6.55,17.08,7.01,17.68,85.21,20970000000,20970000000,15.09,1.24,2.56,12.04,2.56,2610000000,12.04,536240000,5.47,5.2,41.4,540890000,5.13,8570000000,1.43,35.67,1100000000,0.65
0.756,8.03,1.82,1.25,22.79,35.44,7.27,18.79,33.312,14570000000,21610000000,10.87,1.72,2.73,4.43,2.73,6070000000,4.43,1800000000,7.568,1579.8,70.3,1520000000,6.35,8720000000,0.998,48.077999,4160000000,0.52
0.661,8.78,2,1.39,23.43,36.55,7.3,17.84,34.018,16920000000,23480000000,9.75,1.74,2.82,4.48,2.82,6070000000,4.48,1940000000,7.973,1579.8,70.3,1180000000,4.89,7910000000,0.993,49.483002,4360000000,0.532
0.629,9.12,2.1,1.43,23.78,37.52,7.53,17.83,70.3,18480000000,24170000000,8.77,1.78,2.8,4.39,2.8,6070000000,4.39,2050000000,8.336,1579.8,70.3,1910000000,7.87,7960000000,1.019,52.071999,4680000000,0.61
0.629,9.46,2.21,1.51,23.78,37.52,7.53,17.83,17.5,19170000000,25210000000,8.9,1.53,2.92,4.58,2.92,6070000000,4.58,2050000000,4.168,1579.8,70.3,1910000000,3.93,7960000000,1.019,26.035999,4680000000,0.683
0.582,10.98,2.43,1.65,23.79,40.31,7.79,17.87,18.452,23110000000,28960000000,11.79,1.96,3.15,4.83,3.15,7650000000,4.83,2180000000,4.39,1579.8,70.3,2120000000,4.42,7960000000,1.156,28.254999,4680000000,0.732
37.01,4.75,2.93,1.3,61.42,38.1,6.58,7.74,22.29,28870000000,28870000000,8.58,0.92,3.05,5.06,3.05,8250000000,5.06,1460000000,13.6,288.5,28.2,6800000000,16.32,7930000000,1.99,51.26,28870000000,1.15
37.01,4.81,2.75,1.22,61.42,38.1,6.58,7.74,22.29,27130000000,27130000000,9.53,0.8,2.87,4.76,2.87,8250000000,4.76,1460000000,13.6,288.5,28.2,6800000000,16.32,7930000000,1.99,51.26,27130000000,1.41
43.87,5.84,2.48,1.2,47.21,43.55,7.65,10.52,24,27420000000,27420000000,9.59,0.99,2.72,4.16,2.72,8250000000,4.16,2070000000,11.27,50.3,28.9,6880000000,17.03,9260000000,1.59,51.82,5460000000,1.42
45.64,5.83,2.52,1.24,44.49,43.79,7.82,10.49,25.66,29330000000,29330000000,9.26,1.1,2.77,4.26,2.77,7890000000,4.26,2110000000,11.31,9.8,22.4,7090000000,17.54,9780000000,1.38,53.03,6220000000,1.4
49.37,4.81,2.17,1.05,44.12,44.22,7.6,10.48,26.12,26740000000,26740000000,8.73,1.22,2.52,3.76,2.52,7890000000,3.76,2140000000,11.42,5.5,1.6,7140000000,17.65,10840000000,1.45,54.29,5990000000,1.33
47.71,9.95,2.46,1.07,24.9,41.89,6.19,11.23,24.13,27380000000,27380000000,11.94,3.08,2.82,4.13,2.82,7890000000,4.13,2420000000,5.93,82.6,32.5,7070000000,17.49,10600000000,1.86,54.94,5870000000,1.3
47.71,9.75,2.44,1.07,24.9,41.89,6.19,11.23,24.13,26910000000,26910000000,12.62,3.52,2.77,4.06,2.77,7890000000,4.06,2420000000,5.93,82.6,32.5,7070000000,17.49,10600000000,1.86,54.94,5870000000,1.27
0.018,106.86,23.21,10.56,22.51,30.55,10.04,11.76,3.679,57250000000,56680000000,55.12,2.05,23.18,70.89,23.18,1750000000,70.89,543090000,0.815,76.8,78.3,1920000000,2.92,97190000,2.777,8.174,1050000000,1.576
0.022,80.06,18.48,8.63,23.98,32.43,10.95,12.85,4.036,50490000000,48090000000,48.04,1.66,17.75,51.42,17.75,1750000000,51.42,641620000,0.954,76.8,78.3,2140000000,3.23,125160000,3.22,8.772,1100000000,1.636
0.022,90.58,20.9,9.77,23.98,32.43,10.95,12.85,4.036,57120000000,55110000000,54.01,1.9,20.34,58.93,20.34,1750000000,58.93,641620000,0.954,76.8,78.3,2140000000,3.23,125160000,3.22,8.772,1100000000,1.636
0.022,98.25,22.59,10.56,23.98,32.43,10.95,12.85,4.036,61960000000,59950000000,58.58,2.14,22.13,64.1,22.13,1750000000,64.1,641620000,0.954,76.8,78.3,2140000000,3.23,125160000,3.22,8.772,1100000000,1.676
0.02,104.64,24.3,11.9,24.24,32.73,11.36,13.38,4.409,73250000000,71300000000,69.5,2.56,23.89,68.83,23.89,1750000000,68.83,715310000,1.056,76.8,78.3,2080000000,3.13,124720000,9.187,9.187,1170000000,1.763
0.02,106.68,24.77,12.14,24.24,32.73,11.36,13.38,4.409,74680000000,72720000000,70.85,2.61,24.37,70.21,24.37,1750000000,70.21,715310000,1.056,76.8,78.3,2080000000,3.13,124720000,9.187,9.187,1170000000,1.763
0.02,110.24,25.99,12.73,24.24,32.73,11.36,13.38,4.409,77170000000,75590000000,72.76,2.67,25.33,72.98,25.33,1750000000,72.98,715310000,1.056,76.8,78.3,2080000000,3.13,124720000,9.187,9.187,1170000000,1.763
0.018,65.04,15.32,7.41,23.98,32.38,11.42,13.48,2.393,49850000000,47960000000,36.7,1.63,14.66,42.63,14.66,2660000000,42.63,778220000,0.57,76.2,51.1,2010000000,1.5,124350000,2.683,5.026,1290000000,2.056
2.566,61.62,14.2,6.96,23.53,31.81,9.37,13.26,2.669,50370000000,48360000000,37.34,1.85,13.63,34.4,13.63,2660000000,34.4,834410000,0.61,28.1,36.4,2020000000,1.494,2.566,2.566,5.364,1410000000,2.119
2.566,57.54,13.26,6.5,23.53,31.81,9.37,13.26,2.669,47040000000,45030000000,34.87,1.62,12.7,32.03,12.7,2660000000,32.03,834410000,0.61,28.1,36.4,2020000000,1.494,2.566,2.566,5.364,1410000000,2.1
11.66,14.97,4.16,2.7,27.72,20.37,6.01,19.43,9.01,44570000000,44570000000,13.9,1.31,3.83,13.45,3.83,8190000000,13.45,3230000000,2.46,254,35.5,5930000000,4.61,2090000000,1.88,13.94,3270000000,1.36
11.01,15.56,4.38,3.01,28.67,20.34,6.24,21.25,10.1,53340000000,53340000000,16.15,1.41,4.1,14.19,4.1,8190000000,14.19,3730000000,2.84,144.5,23.1,5750000000,4.47,2080000000,1.95,14.68,3090000000,1.1
11.01,16.82,4.7,3.23,28.67,20.34,6.24,21.25,10.1,57990000000,57990000000,17.59,1.47,4.45,15.43,4.45,8190000000,15.43,3730000000,2.84,144.5,23.1,5750000000,4.47,2080000000,1.95,14.68,3090000000,0.97
21.65,27.24,4.98,3.36,18.54,20.52,5.59,13.45,10.89,65260000000,65260000000,16.94,1.35,4.64,15.96,4.64,8190000000,15.96,2610000000,1.99,62.1,18.1,9410000000,7.27,4520000000,1.95,16.13,3840000000,0.93
21.39,27.25,5.06,3.47,18.68,21.06,5.78,13.64,11.24,67340000000,67340000000,17.43,1.33,4.63,15.62,4.63,9860000000,15.62,2720000000,2.06,18.8,14.4,9400000000,7.25,4520000000,1.91,16.3,4240000000,0.87
0.472,28.96,2.14,5.91,7.54,12.91,9.18,22.76,15.589,8770000000,9320000000,25.59,2.34,2.29,12.15,2.29,1920000000,12.15,306680000,1.175,32.2,10.5,72100000,0.28,694690000,1.308,5.711,547090000,0.616
39.64,23.32,1.99,5.68,8.71,13.37,10.29,25.64,26.09,12620000000,12620000000,18.19,1.57,2.07,10.86,2.07,3080000000,10.86,530300000,2.23,13.4,0.7,242300000,1.04,845600000,1.41,9.16,12620000000,0.7
107.8,40.25,2.41,3.39,5.17,12.48,5.71,10.31,32.14,25370000000,25370000000,18.37,1.51,3.14,17.01,3.14,3320000000,17.01,418600000,1.63,46.9,85.1,354000000,1.21,6260000000,1.13,19.64,739900000,0.65
106.2,35.33,2.05,3.99,5.94,12.91,5.35,11.79,40.47,29640000000,29640000000,20.15,1.46,2.5,13.21,2.5,5360000000,13.21,703600000,2.35,160.9,65.1,1160000000,3.93,6540000000,1.6,20.62,1200000000,0.58
100.03,32.06,2.16,4.17,6.84,13.1,5.71,13.59,40.55,31120000000,31120000000,20.91,1.63,2.62,13.64,2.62,5360000000,13.64,813500000,2.71,221.1,2.2,824300000,2.79,6230000000,1.72,20.82,1280000000,0.58
0.989,19.9,1.11,1.39,5.53,12.4,2.55,7.97,42.427,10920000000,18310000000,16,8.55,1.85,10.3,1.85,3420000000,10.3,534000000,2.267,19.8,15.9,70000000,0.29,7240000000,1.138,32.537998,1560000000,0.068
0.989,19.14,1.07,1.34,5.53,12.4,2.55,7.97,42.427,10500000000,17890000000,15.12,8.15,1.81,10.07,1.81,3420000000,10.07,534000000,2.267,19.8,15.9,70000000,0.29,7240000000,1.138,32.537998,1560000000,0.051
93.23,15.6,1.26,1.48,8.04,16.86,3.95,9.61,45.54,26830000000,26830000000,15.39,4.5,2.03,8.7,2.03,7590000000,8.7,1060000000,3.64,9.8,0.8,492000000,1.68,10690000000,1.3,38.42,26830000000,0.21
91.58,16.1,1.34,1.53,8.34,17.34,3.95,9.71,44.9,27800000000,27800000000,16.11,4.53,2.12,8.83,2.12,7590000000,8.83,1090000000,3.71,9.4,2.1,398000000,1.36,10680000000,1.17,39.11,3570000000,0.24
91.58,16.75,1.4,1.6,8.34,17.34,3.95,9.71,44.9,28590000000,28590000000,16.76,4.73,2.18,9.09,2.18,7590000000,9.09,1090000000,3.71,9.4,2.1,398000000,1.36,10680000000,1.17,39.11,3570000000,0.24
102.6,17.04,1.45,1.56,8.56,18.09,3.7,9.24,42.49,28560000000,28560000000,16.02,5.52,2.3,9.02,2.3,7940000000,9.02,1060000000,3.62,29.7,7.4,1380000000,4.72,11880000000,0.94,39.53,2800000000,0.16
102.6,16.52,1.41,1.51,8.56,18.09,3.7,9.24,42.49,28020000000,28020000000,15.58,5.28,2.25,8.85,2.25,7940000000,8.85,1060000000,3.62,29.7,7.4,1380000000,4.72,11880000000,0.94,39.53,2800000000,0.14
95.33,15.23,1.41,1.45,9.34,19.19,3.64,9.68,41.61,28190000000,28190000000,15.26,7.77,2.31,8.56,2.31,8300000000,8.56,1140000000,3.86,8.4,0.4,394000000,1.35,11320000000,0.88,40.53,2600000000,0.1
95.33,16.16,1.5,1.54,9.34,19.19,3.64,9.68,41.61,29220000000,29220000000,16.24,8.13,2.4,8.87,2.4,8300000000,8.87,1140000000,3.86,8.4,0.4,394000000,1.35,11320000000,0.88,40.53,2600000000,0.08
100.78,17.45,1.5,1.55,8.57,18.74,3.54,8.99,41.97,30500000000,30500000000,16.18,8.3,2.48,9.31,2.48,8300000000,9.31,1050000000,3.57,30.7,3.4,132000000,0.45,11980000000,0.93,40.59,2110000000,0.09
1.707,16.83,2.76,8.03,16.82,25.83,13.24,55.84,9.172,3410000000,4120000000,15.29,1.62,3.32,10.03,3.32,712500000,10.03,208500000,1.545,7.4,10.5,24900000,0.19,725900000,1.115,3.239,306700000,0.794
1.476,17.96,2.92,7.92,16.64,26.08,13.4,52.04,9.337,3640000000,4310000000,16.44,1.86,3.44,10.5,3.44,712500000,10.5,208400000,1.556,7.4,10.5,22700000,0.17,680800000,0.579,3.546,308300000,0.902
1.249,17.44,3.18,7.73,18.64,29.53,15.49,50.48,9.534,3990000000,4650000000,16.41,1.78,3.65,10.17,3.65,712500000,10.17,237300000,1.77,7.4,10.5,52100000,0.4,654200000,0.656,4.046,308300000,0.885
57.38,16.14,2.22,2.4,14.15,23.02,7.79,14.37,15.24,5160000000,5160000000,12.54,1.3,2.73,8.56,2.73,1100000000,8.56,238500000,2.13,1.1,6.7,86900000,0.71,1020000000,1.41,14.23,5160000000,1.05
79.35,25.52,3.42,3.76,13.58,22.95,8.06,15.08,18.51,9010000000,9010000000,15.74,1.36,4.06,13.25,4.06,1330000000,13.25,283100000,2.46,41.4,12,107600000,0.89,1620000000,1.08,16.74,514300000,0.93
2.691,9.64,0.63,1.42,6.42,14.76,2.21,15.81,36.884,7430000000,20050000000,13.49,2.8,1.65,6.74,1.65,8290000000,6.74,779000000,2.366,15.2,0.5,2200000000,6.75,14480000000,0.819,16.521999,3850000000,0.132
3.207,21.53,0.74,1.76,3.52,11.18,1.18,8.18,36.308,8850000000,22360000000,13.71,3.16,1.88,8.69,1.88,8010000000,8.69,419000000,1.261,31.1,5.6,2600000000,15990000000,15990000000,1.149,15.306,2950000000,0.134
3.207,23.3,0.8,1.91,3.52,11.18,1.18,8.18,36.308,9570000000,23090000000,13.86,3.32,1.94,8.97,1.94,8010000000,8.97,419000000,1.261,31.1,5.6,2600000000,15990000000,15990000000,1.149,15.306,1800000000,0.123
2.194,190.25,0.97,1.79,0.56,9.75,0.16,1.08,31.491,10100000000,20170000000,14.36,3.5,1.95,9.81,1.95,8010000000,9.81,58000000,0.163,31.1,5.6,2430000000,7.47,12390000000,1.167,17.334999,906000000,0.079
1.75,52.01,1.12,1.89,3.61,10.79,1.07,4.06,30.906,11610000000,19440000000,14.72,3.12,1.91,9.16,1.91,8010000000,9.16,226000000,0.69,31.1,5.6,2690000000,8.25,10580000000,1.35,18.566,906000000,0.101
0.513,31.02,1.91,6.53,6.53,10.72,9.95,23.01,24.227,10690000000,10670000000,24.63,2.12,1.9,13.55,1.9,3780000000,13.55,351300000,1.517,66.6,7.9,867800000,3.82,841600000,1.928,7.222,682200000,0.82
