DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
512.61,12.88,3.72,23.32,28.92,36.65,18.41,71.43,11.73,76110000000,76110000000,13.48,2.05,4.11,9.69,4.11,13870000000,9.69,5360000000,3.38,9.6,3.7,7480000000,4.72,15160000000,2.21,1.87,5940000000,1.81
0.429,14.1,0.12,1.52,0.9,1.78,3.76,11.95,432.868,6320000000,7780000000,12.2,0.91,0.15,8.01,0.15,2250000000,8.01,456960000,3.998,27.9,9.8,283220000,2.53,1770000000,1.452,36.89,354820000,0.123
0.412,14.05,0.13,1.55,0.93,1.78,3.94,12.09,441.08,6620000000,7710000000,13.08,0.95,0.15,7.75,0.15,2250000000,7.75,482700000,4.198,27.9,9.8,663760000,5.91,1750000000,1.365,37.967999,566770000,0.122
0.331,12.13,0.11,1.36,0.95,1.77,4.06,12,445.314,5860000000,6510000000,12.58,0.91,0.12,6.5,0.12,2250000000,6.5,495930000,4.294,27.9,9.8,903170000,8.03,1460000000,1.39,39.075001,992100000,0.071
0.332,14.25,0.11,1.47,0.88,1.63,3.89,11.09,451.509,6090000000,6670000000,12.87,1.08,0.13,7.08,0.13,2180000000,7.08,468390000,4.062,6.2,7.1,871340000,8.29,1440000000,1.359,39.556,825080000,0.033
0.291,14.67,0.11,1.36,0.81,1.48,3.62,10.1,460.193,6160000000,6710000000,14.07,1.23,0.13,7.68,0.13,2180000000,7.68,430770000,3.78,6.2,7.1,529540000,4.77,1230000000,1.343,39.708,1400000000,0.024
0.23,19.23,0.13,1.65,0.72,1.32,3.25,9.01,466.43,6870000000,14150000000,16.57,1.45,0.27,17.97,0.27,2180000000,17.97,385260000,3.43,6.2,7.1,1150000000,11.07,957800000,1.258,39.949001,688700000,0.031
42.86,17.89,0.15,3.76,0.86,1.45,5.02,22.78,284.55,11240000000,11240000000,15.49,1.36,0.14,8.95,0.14,2360000000,8.95,679310000,2.41,18.4,2.4,1910000000,6.98,1340000000,1.1,11.45,11240000000,0.77
66.41,14.57,0.12,3.35,0.88,1.54,5.16,24.15,300.87,9280000000,9280000000,11.91,1.06,0.12,6.78,0.12,2540000000,6.78,708240000,2.59,1,2.4,2370000000,9.19,1930000000,1.06,11.24,1700000000,0.77
59.73,19.22,0.16,5.54,0.9,1.58,5.07,27.11,327.31,13850000000,13850000000,15.17,1.52,0.17,9.69,0.17,2670000000,9.69,710450000,2.9,4,5.7,417400000,1.81,1400000000,0.96,10.16,632040000,0.66
0.543,21.75,3.4,5.22,15.73,19.08,11.53,24.56,12.54,67000000000,71550000000,17.1,1.57,3.63,13.98,3.63,10210000000,13.98,3100000000,1.973,1.4,11.3,2420000000,1.55,6970000000,1.378,8.216,4480000000,0.259
0.543,20.44,3.28,5,16.08,19.08,11.58,24.54,12.427,63790000000,68330000000,16.21,1.52,3.49,13.35,3.49,10210000000,13.35,3150000000,1.999,1.4,11.3,2420000000,1.55,6970000000,1.378,8.216,4480000000,0.23
0.508,23.31,3.66,5.53,16.36,20.14,11.37,24.1,12.04,71530000000,76200000000,16.7,1.54,4.03,14.54,4.03,10210000000,14.54,3100000000,1.97,1.4,11.3,1910000000,1.23,6580000000,1.4,8.319,4250000000,0.246
0.508,23.15,3.81,5.56,16.36,20.14,11.37,24.1,12.04,71030000000,76730000000,16.59,1.69,4.05,14.64,4.05,10210000000,14.64,3100000000,1.97,1.4,11.3,1910000000,1.23,6580000000,1.4,8.319,4250000000,0.216
62.85,20.26,2.47,3.93,12.17,20.9,8.4,20,24.94,1.03E+11,1.03E+11,11.42,1.47,2.66,9.24,2.66,23310000000,9.24,4710000000,3.01,12.3,4.1,8100000000,5.15,15410000000,1.54,15.56,8970000000,0.23
35.38,13.95,1.36,2.44,10.02,22.4,10.72,26.48,25.52,52890000000,52890000000,15.68,1.47,1.32,4.58,1.32,24750000000,4.58,6190000000,2.51,72.4,2.5,9390000000,6.04,7930000000,1.82,14.37,6200000000,0.5
27.7,8.52,1.23,0.83,15.54,19.58,2.36,11.17,48.24,23530000000,23530000000,8.49,1.1,1.44,7.31,1.44,5730000000,7.31,2540000000,7.44,10.3,13.1,3210000000,9.51,6680000000,0.72,71.36,23530000000,0.61
24.94,11.31,1.68,1.1,15.09,17.6,2.19,10.44,52.78,33990000000,33990000000,11.06,1.5,1.9,10.6,1.9,5320000000,10.6,2710000000,7.89,4.1,3.3,3090000000,9.1,6860000000,0.93,80.9,4000000000,0.79
27.94,11.84,1.75,1.13,14.88,17.34,2.13,10.07,53.02,35220000000,35220000000,11.37,1.39,1.95,11.06,1.95,5320000000,11.06,2690000000,7.83,2.1,2.6,3750000000,11.02,7810000000,0.41,82.17,4340000000,0.79
0.936,22.02,1.35,2.47,5.73,3.92,3.92,11.81,31.153,2580000000,3380000000,11.96,3.83,1.7,13.83,1.7,438460000,13.83,106520000,1.87,581.4,33.3,323170000,5.15,1010000000,1.949,17.375999,146730000,0.035
118.77,20.59,1.23,1.2,4.62,12.59,3.65,5.69,21.08,8400000000,8400000000,5.24,0.38,2.41,10.08,2.41,790460000,10.08,161180000,0.96,83.3,28.9,82350000,0.39,4200000000,1.24,16.73,8400000000,1.83
0.023,21.49,1.65,16.89,8.09,11.64,16.38,54.3,15.096,24570000000,22060000000,16.9,1.25,1.46,10.94,1.46,4310000000,10.94,690830000,1.219,103.4,2.2,2840000000,3.03,33880000,1.381,1.57,1800000000,1.702
0.023,21,1.56,13.88,7.74,10.95,15.15,48.93,15.748,23970000000,21460000000,16.25,1.19,1.37,10.97,1.37,4620000000,10.97,712760000,1.22,38.7,12.8,2870000000,3.05,40000000,1.45,1.862,1570000000,1.686
0.023,20.12,1.45,12.97,7.74,10.95,15.15,48.93,15.748,22960000000,20140000000,15.57,1.11,1.29,10.29,1.29,4620000000,10.29,712760000,1.22,38.7,12.8,2870000000,3.05,40000000,1.45,1.862,1570000000,1.671
0.11,17.02,1.33,9.32,8.12,12.83,15.56,62.34,40.45,29280000000,29280000000,14.11,1.46,1.13,7.64,1.13,7250000000,7.64,2110000000,3.15,28,20.6,5260000000,8.16,4620000,1.51,5.75,29280000000,0.79
0.1,17.07,1.36,9.63,8.33,12.97,15.52,66.97,42.37,31630000000,31630000000,13.74,1.44,1.16,7.79,1.16,8390000000,7.79,2280000000,3.4,37.4,23,5710000000,8.9,4420000,1.45,6.05,31630000000,0.82
0.15,16.81,1.36,10.21,8.38,13,16.43,70.63,43.97,33520000000,33520000000,14.19,1.4,1.18,7.93,1.18,8390000000,7.93,2390000000,3.55,20.1,17.1,5100000000,7.88,6380000,1.45,5.84,3810000000,0.86
0,17.68,1.85,10.51,9.16,13.9,14.94,62.95,43.32,44320000000,44320000000,14.54,1.41,1.59,10.58,1.59,8990000000,10.58,2550000000,3.84,5.5,2.2,6640000000,8.85,0,1.55,6.55,4260000000,1.23
0,17.47,1.72,8.91,10.85,14.12,15.51,61.32,43.98,42950000000,42950000000,16.05,1.55,1.52,9.92,1.52,8990000000,9.92,3070000000,4.29,71.1,3.8,5640000000,8.67,0,1.63,8.39,3450000000,1.27
0,18.67,1.84,9.53,10.85,14.12,15.51,61.32,43.98,46040000000,46040000000,17.15,1.63,1.63,10.64,1.63,8990000000,10.64,3070000000,4.29,71.1,3.8,5640000000,8.67,0,1.63,8.39,3450000000,1.27
3.526,29.72,7.19,8.61,25.17,33.92,25.33,36.21,6.174,11050000000,9770000000,25.46,1.79,6.47,17.27,6.47,1200000000,17.27,380310000,1.551,39.2,11.2,1280000000,5.34,3.526,3.526,5.264,558160000,1.463
3.1,34.06,8.74,11.37,26.34,35.14,26.31,37.06,6.475,13860000000,12800000000,29.79,2.17,8.02,20.77,8.02,1200000000,20.77,420250000,1.706,39.2,11.2,1140000000,4.78,3.1,3.1,5.137,621520000,1.458
